paper_id,pdf_filename,title,doi,screening_decision,reason,evidence_category,database_use,integration_status
OPP-P11,Fungal Biodegradation of Polyurethanes.pdf,Fungal Biodegradation of Polyurethanes,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P12,"Genomic, Transcriptomic and SuspectNon-Target Screening Analyses Reveal the Role of CYP450s in the Degradation of Imazalil and Delineate Its Transformation Pathway by Cladosporium herbarum..pdf","Genomic, Transcriptomic and SuspectNon-Target Screening Analyses Reveal the Role of CYP450s in the Degradation of Imazalil and Delineate Its Transformation Pathway by Cladosporium herbarum.",,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P13,High-COsub2sub Treatment Prolongs the Postharvest Shelf Life of Strawberry Fruits by Reducing Decay and Cell Wall Degradation..pdf,High-CO2 Treatment Prolongs the Postharvest Shelf Life of Strawberry Fruits by Reducing Decay and Cell Wall Degradation.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P14,Highly effective catalytic peroxymonosulfate activation on N-doped mesoporous carbon for o-phenylphenol degradation..pdf,Highly effective catalytic peroxymonosulfate activation on N-doped mesoporous carbon for o-phenylphenol degradation.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P15,IruO is a reductase for heme degradation by IsdI and IsdG proteins in Staphylococcus aureus..pdf,IruO is a reductase for heme degradation by IsdI and IsdG proteins in Staphylococcus aureus.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P16,Light driven Aspergillus niger-ZnS nanobiohybrids for degradation of methyl orange..pdf,Light driven Aspergillus niger-ZnS nanobiohybrids for degradation of methyl orange.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P17,Recent advances in bismuth oxyhalide photocatalysts for degradation of organic pollutants in wastewater..pdf,Recent advances in bismuth oxyhalide photocatalysts for degradation of organic pollutants in wastewater.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P18,Reorganization of gene network for degradation of polycyclic aromatic hydrocarbons (PAHs) in Pseudomonas aeruginosa PAO1 under several conditions..pdf,Reorganization of gene network for degradation of polycyclic aromatic hydrocarbons (PAHs) in Pseudomonas aeruginosa PAO1 under several conditions.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P19,Review of the existing maximum residue levels for 2-phenylphenol according to Article 12 of Regulation NoÂ 3962005..pdf,Review of the existing maximum residue levels for 2-phenylphenol according to Article 12 of Regulation NoÂ 3962005.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P20,"Rod-like Bisub4subOsub7sub decorated Bisub2subOsub2subCOsub3sub plates Facile synthesis, promoted charge separation, and highly efficient photocatalytic degradation of organic contaminants..pdf","Rod-like Bi4O7 decorated Bi2O2CO3 plates Facile synthesis, promoted charge separation, and highly efficient photocatalytic degradation of organic contaminants.",,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P21,Room-temperature fabrication of bismuth oxybromideoxyiodide photocatalyst and efficient degradation of phenolic pollutants under visible light..pdf,Room-temperature fabrication of bismuth oxybromideoxyiodide photocatalyst and efficient degradation of phenolic pollutants under visible light.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P22,Room-temperature synthesis of zinc oxide nanoparticles in different media and their application in cyanide photodegradation..pdf,Room-temperature synthesis of zinc oxide nanoparticles in different media and their application in cyanide photodegradation.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P23,Survey of the anaerobic biodegradation potential of organic chemicals in digesting sludge..pdf,Survey of the anaerobic biodegradation potential of organic chemicals in digesting sludge.,,Uncertain,Survey paper may contain biodegradation screening but not pathway-ready evidence from title alone.,Possible environmental screening,Review later if needed,Not integrated
OPP-P24,The Effect of Cultivation Method of Strawberry (iFragaria x ananassai Duch.) cv. Honeoye on Structure and Degradation Dynamics of Pectin during Cold Storage..pdf,The Effect of Cultivation Method of Strawberry (iFragaria x ananassai Duch.) cv. Honeoye on Structure and Degradation Dynamics of Pectin during Cold Storage.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P25,Transcriptional analysis reveals the metabolic state of Burkholderia zhejiangensisi CEIB S4-3 during methyl parathion degradation..pdf,Transcriptional analysis reveals the metabolic state of Burkholderia zhejiangensisi CEIB S4-3 during methyl parathion degradation.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P26,"Transcriptional organization and dynamic expression of the hbpCAD genes, which encode the first three enzymes for 2-hydroxybiphenyl degradation in Pseudomonas azelaica HBP1..pdf","Transcriptional organization and dynamic expression of the hbpCAD genes, which encode the first three enzymes for 2-hydroxybiphenyl degradation in Pseudomonas azelaica HBP1.",,Include,"Gene/pathway organization paper for hbpC, hbpA and hbpD; gives enzyme-gene links.",Gene/enzyme pathway evidence,Protein/gene links + pathway annotation,Not integrated
OPP-P27,URB602 inhibits monoacylglycerol lipase and selectively blocks 2-arachidonoylglycerol degradation in intact brain slices..pdf,URB602 inhibits monoacylglycerol lipase and selectively blocks 2-arachidonoylglycerol degradation in intact brain slices.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P28,"Unusual location of two nearby pairs of upstream activating sequences for HbpR, the main regulatory protein for the 2-hydroxybiphenyl degradation pathway of Pseudomonas azelaica HBP1..pdf","Unusual location of two nearby pairs of upstream activating sequences for HbpR, the main regulatory protein for the 2-hydroxybiphenyl degradation pathway of Pseudomonas azelaica HBP1.",,Include,Regulatory gene paper for HbpR controlling the hbp pathway.,Regulatory gene evidence,Gene regulation note,Not integrated
OPP-P29,Z-scheme bismuth-rich bismuth oxide iodidebismuth oxide bromide hybrids with novel spatial structure Efficient photocatalytic degradation of phenolic contaminants accelerated by in situ generated redox mediators..pdf,Z-scheme bismuth-rich bismuth oxide iodidebismuth oxide bromide hybrids with novel spatial structure Efficient photocatalytic degradation of phenolic contaminants accelerated by in situ generated redox mediators.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
